"ID в Амедиатеке";"ID на Кинопоиске";"Оценка IMDB";"Оценка Кинопоиск"
;585059;6.7;6.879
;938871;7.3;6.724
;258690;6;6.811
;570175;6.8;6.412
;4646430;6.6;5.974
;89530;7.6;7.166
;568291;7.3;7.099
;94985;7.2;7.422
;181274;6.6;6.325
;1379720;1.7;5.714
;259251;7.1;6.696
;277575;7.4;7.633
;5070608;6.7;6.762
;1045251;7.1;5.922
;1204160;7.3;0
;839871;7.8;0
;436177;7.5;7.31
;4695931;5.4;6.186
;979293;7.9;7.452
;484537;7.2;6.878
;597079;5.8;6.736
;1195085;5.5;0
;571951;6.2;6.209
;79744;7.4;7.125
;1438376;7.4;6.654
;1395414;6.9;7.361
;840939;6.2;0
;689761;7;0
;1236340;7.3;0
;1007909;7.9;7.833
;1188597;6.7;6.918
;181989;6.7;6.133
;1221453;8;7.829
;1264106;7.1;0
;883270;6.8;7.111
;1271262;7.5;7.424
;981033;7.2;6.952
;84830;7.2;7.228
;4921519;6.9;7.449
;4559071;8.4;8.096
;1112658;7.6;7.487
;4515275;7.6;7.403
;401436;7.4;7.101
;1065092;7.5;7.889
;1245486;7.4;7.343
;972222;0;6.623
;852955;6.7;0
;4491502;8.1;8.322
;849268;7.2;6.824
;1290592;7.2;7.031
;1435806;8.3;8.258
;474169;7.3;7.679
;1395417;7.8;7.696
;4519471;6.6;0
;4398080;6.6;7.294
;4925237;7.9;7.967
;1199706;0;7.564
;947758;8.4;8.14
;4356528;5.5;0
;401483;7.3;6.831
;762172;6;6.7
;1245332;7.4;7.056
;1202314;6.2;6.5
;4858971;7.3;7.615
;1346744;8.1;7.807
;1045369;7.4;7.055
;4414112;7.9;0
;1159835;8.1;7.897
;79883;6.1;6.096
;1046640;7.3;7.569
;1111565;6.7;0
;4491488;7.2;0
;583701;7.4;6.804
;1046229;8.1;7.69
;1273699;6.4;6.302
;737705;7.9;7.493
;4368464;8.1;7.354
;4969180;0;0
;1402026;7.4;0
;1047297;7;0
;4510176;6.8;6.821
;4317399;0;0
;1200818;5.6;5.909
;574436;7.7;0
;1421587;8.3;8.026
;4395214;6.4;6.511
;277648;7.6;7.478
